Card,Tested Rc (Ω),VMax,VMin
0,15000,0.2373,0.2364
0,10000,0.3374,0.3365
0,8200,0.3998,0.3987
0,7500,0.4326,0.4319
0,6800,0.4708,0.4696
0,6200,0.5077,0.5068
0,5600,0.5492,0.5481
0,5100,0.5983,0.5971
0,4700,0.6350,0.6341
0,3900,0.7398,0.7388
0,3100,0.8360,0.8350
0,2700,0.9682,0.9672
0,2000,1.1949,1.1941
0,1800,1.2706,1.2698
0,1500,1.4161,1.4155
0,1200,1.5906,1.5899
0,820,1.9092,1.9083
0,620,2.1231,2.1223
0,560,2.2054,2.2047
0,470,2.3300,2.3266
0,390,2.4443,2.4433
0,300,2.6055,2.6035
0,240,2.7099,2.7090
0,200,2.7909,2.7897
0,150,2.8977,2.8967
0,120,2.9695,2.9688
0,100,3.0136,3.0127
0,62,3.1041,3.1035
